 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),  R.A.__(a-app), DEC_(a-app),  dRA*cosD, d(DEC)/dt, Azi_(a-app), Elev_(a-app),  dAZ*cosE, d(ELV)/dt,   X_(sat-prim), Y_(sat-prim), SatPANG,  L_Ap_Sid_Time,  a-mass, mag_ex,    APmag,  S-brt,      Illu%,             delta,     deldot,     S-O-T,/r,     S-T-O,  T-O-M, MN_Illu%,    PsAng,   PsAMV,  Cnst,,RA_deg_ICRF,DEC_deg_ICRF,MJD
 2020-Jan-01 00:00, , , 19 58 09.77, -20 16 57.7,    19 59 17.28, -20 13 44.9,  85.10317,  24.04170,        n.a.,         n.a.,      n.a.,      n.a.,      62713.654,    10186.898,  84.469,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.28309,  2.69239493733919,  5.5509671,   17.8108,/T,    9.7196,   48.6,  29.9567,   77.527, 247.620,   Sgr,,299.54070833333327,-20.282694444444445,58849.0
 2020-Jan-02 00:00, , , 20 00 34.89, -20 07 20.5,    20 01 42.28, -20 04 04.2,  85.05150,  24.34794,        n.a.,         n.a.,      n.a.,      n.a.,      61093.827,    10478.084,  83.857,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.31634,  2.69555133751472,  5.3792411,   17.3805,/T,    9.4912,   59.8,  38.9224,   77.140, 247.411,   Sgr,,300.14537499999994,-20.12236111111111,58850.0
 2020-Jan-03 00:00, , , 20 02 59.77, -19 57 36.0,    20 04 07.04, -19 54 16.2,  84.99938,  24.65239,        n.a.,         n.a.,      n.a.,      n.a.,      59476.704,    10749.085,  83.240,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.34881,  2.69860856234891,  5.2075468,   16.9506,/T,    9.2627,   71.0,  48.2636,   76.746, 247.204,   Sgr,,300.74904166666664,-19.96,58851.0
 2020-Jan-04 00:00, , , 20 05 24.41, -19 47 44.2,    20 06 31.56, -19 44 20.9,  84.94696,  24.95502,        n.a.,         n.a.,      n.a.,      n.a.,      57862.383,    11000.021,  82.615,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.38050,  2.70156664675764,  5.0359411,   16.5212,/T,    9.0342,   82.3,  57.7219,   76.343, 246.999,   Sgr,,301.35170833333325,-19.795611111111114,58852.0
 2020-Jan-05 00:00, , , 20 07 48.81, -19 37 45.1,    20 08 55.84, -19 34 18.4,  84.89441,  25.25584,        n.a.,         n.a.,      n.a.,      n.a.,      56250.949,    11231.024,  81.983,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.41141,  2.70442565772448,  4.8644782,   16.0923,/T,    8.8056,   93.8,  67.0270,   75.932, 246.797,   Cap,,301.95337499999994,-19.629194444444444,58853.0
 2020-Jan-06 00:00, , , 20 10 12.97, -19 27 38.8,    20 11 19.88, -19 24 08.6,  84.84190,  25.55481,        n.a.,         n.a.,      n.a.,      n.a.,      54642.483,    11442.241,  81.343,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.44153,  2.70718569251876,  4.6932083,   15.6639,/T,    8.5771,  105.5,  75.8776,   75.512, 246.597,   Cap,,302.55404166666665,-19.46077777777778,58854.0
 2020-Jan-07 00:00, , , 20 12 36.89, -19 17 25.3,    20 13 43.69, -19 13 51.7,  84.78963,  25.85194,        n.a.,         n.a.,      n.a.,      n.a.,      53037.053,    11633.831,  80.694,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.47086,  2.70984687544066,  4.5221739,   15.2361,/T,    8.3486,  117.5,  83.9268,   75.081, 246.400,   Cap,,303.15370833333327,-19.290361111111114,58855.0
 2020-Jan-08 00:00, , , 20 15 00.58, -19 07 04.7,    20 16 07.26, -19 03 27.7,  84.73782,  26.14724,        n.a.,         n.a.,      n.a.,      n.a.,      51434.718,    11805.962,  80.035,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.49939,  2.71240935118649,  4.3514017,   14.8089,/T,    8.1201,  129.8,  90.7787,   74.638, 246.205,   Cap,,303.75241666666665,-19.11797222222222,58856.0
 2020-Jan-09 00:00, , , 20 17 24.02, -18 56 37.0,    20 18 30.60, -18 52 56.6,  84.68673,  26.44071,        n.a.,         n.a.,      n.a.,      n.a.,      49835.526,    11958.815,  79.366,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.52714,  2.71487327306209,  4.1808928,   14.3823,/T,    7.8917,  142.6,  96.0031,   74.183, 246.012,   Cap,,304.3500833333333,-18.94361111111111,58857.0
 2020-Jan-10 00:00, , , 20 19 47.23, -18 46 02.2,    20 20 53.71, -18 42 18.4,  84.63661,  26.73238,        n.a.,         n.a.,      n.a.,      n.a.,      48239.516,    12092.582,  78.684,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.55408,  2.71723878508637,  4.0106124,   13.9564,/T,    7.6634,  155.6,  99.1752,   73.715, 245.822,   Cap,,304.9467916666666,-18.767277777777778,58858.0
 2020-Jan-11 00:00, , , 20 22 10.21, -18 35 20.4,    20 23 16.57, -18 31 33.4,  84.58771,  27.02228,        n.a.,         n.a.,      n.a.,      n.a.,      46646.718,    12207.461,  77.990,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.58023,  2.71950599877114,  3.8404822,   13.5312,/T,    7.4351,  168.8,  99.9386,   73.231, 245.635,   Cap,,305.54254166666664,-18.589,58859.0
 2020-Jan-12 00:00, , , 20 24 32.96, -18 24 31.7,    20 25 39.21, -18 20 41.4,  84.54021,  27.31044,        n.a.,         n.a.,      n.a.,      n.a.,      45057.155,    12303.661,  77.281,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.60559,  2.72167496782581,  3.6703812,   13.1067,/T,    7.2070,  175.7,  98.0787,   72.731, 245.450,   Cap,,306.1373333333333,-18.408805555555553,58860.0
 2020-Jan-13 00:00, , , 20 26 55.47, -18 13 36.0,    20 28 01.62, -18 09 42.5,  84.49421,  27.59687,        n.a.,         n.a.,      n.a.,      n.a.,      43470.847,    12381.399,  76.557,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.63014,  2.72374566623955,  3.5001571,   12.6829,/T,    6.9789,  162.8,  93.5840,   72.212, 245.268,   Cap,,306.73112499999996,-18.226666666666667,58861.0
 2020-Jan-14 00:00, , , 20 29 17.77, -18 02 33.5,    20 30 23.79, -17 58 36.8,  84.44972,  27.88160,        n.a.,         n.a.,      n.a.,      n.a.,      41887.816,    12440.903,  75.814,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.65389,  2.72571797569042,  3.3296464,   12.2599,/T,    6.7510,  149.0,  86.6702,   71.672, 245.088,   Cap,,307.32404166666663,-18.04263888888889,58862.0
 2020-Jan-15 00:00, , , 20 31 39.83, -17 51 24.1,    20 32 45.74, -17 47 24.3,  84.40662,  28.16461,        n.a.,         n.a.,      n.a.,      n.a.,      40308.087,    12482.409,  75.051,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.67684,  2.72759168616007,  3.1586990,   11.8378,/T,    6.5233,  135.2,  77.7576,   71.110, 244.910,   Cap,,307.91595833333326,-17.856694444444447,58863.0
 2020-Jan-16 00:00, , , 20 34 01.68, -17 40 07.9,    20 35 07.46, -17 36 05.0,  84.36471,  28.44589,        n.a.,         n.a.,      n.a.,      n.a.,      38731.693,    12506.163,  74.266,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.69899,  2.72936650974075,  2.9871982,   11.4166,/T,    6.2958,  121.4,  67.4105,   70.522, 244.736,   Cap,,308.507,-17.668861111111113,58864.0
 2020-Jan-17 00:00, , , 20 36 23.31, -17 28 44.9,    20 37 28.97, -17 24 38.9,  84.32375,  28.72541,        n.a.,         n.a.,      n.a.,      n.a.,      37158.675,    12512.422,  73.454,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.72033,  2.73104210396235,  2.8150729,   10.9964,/T,    6.0685,  107.8,  56.2616,   69.906, 244.563,   Cap,,309.09712499999995,-17.479138888888887,58865.0
 2020-Jan-18 00:00, , , 20 38 44.72, -17 17 15.2,    20 39 50.26, -17 13 06.2,  84.28348,  29.00311,        n.a.,         n.a.,      n.a.,      n.a.,      35589.086,    12501.450,  72.614,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.74087,  2.73261809933449,  2.6423004,   10.5772,/T,    5.8414,   94.4,  44.9457,   69.258, 244.394,   Cap,,309.6863333333333,-17.287555555555556,58866.0
 2020-Jan-19 00:00, , , 20 41 05.92, -17 05 38.9,    20 42 11.34, -17 01 26.8,  84.24362,  29.27895,        n.a.,         n.a.,      n.a.,      n.a.,      34022.985,    12473.521,  71.742,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.76060,  2.73409412644433,  2.4689026,   10.1592,/T,    5.6147,   81.2,  34.0532,   68.574, 244.227,   Cap,,310.27466666666663,-17.09413888888889,58867.0
 2020-Jan-20 00:00, , , 20 43 26.91, -16 53 55.9,    20 44 32.21, -16 49 40.7,  84.20395,  29.55287,        n.a.,         n.a.,      n.a.,      n.a.,      32460.441,    12428.914,  70.832,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.77951,  2.73546983979851,  2.2949393,    9.7424,/T,    5.3884,   68.3,  24.1020,   67.850, 244.062,   Cap,,310.86212499999993,-16.89886111111111,58868.0
 2020-Jan-21 00:00, , , 20 45 47.68, -16 42 06.4,    20 46 52.87, -16 37 48.1,  84.16428,  29.82479,        n.a.,         n.a.,      n.a.,      n.a.,      30901.530,    12367.919,  69.879,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.79762,  2.73674493735035,  2.1204999,    9.3270,/T,    5.1625,   55.5,  15.5234,   67.079, 243.900,   Cap,,311.44866666666667,-16.701777777777778,58869.0
 2020-Jan-22 00:00, , , 20 48 08.24, -16 30 10.3,    20 49 13.32, -16 25 49.0,  84.12445,  30.09467,        n.a.,         n.a.,      n.a.,      n.a.,      29346.330,    12290.832,  68.877,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.81491,  2.73791917563507,  1.9456965,    8.9132,/T,    4.9371,   42.9,   8.6518,   66.256, 243.741,   Cap,,312.0343333333333,-16.502861111111113,58870.0
 2020-Jan-23 00:00, , , 20 50 28.59, -16 18 07.7,    20 51 33.56, -16 13 43.5,  84.08438,  30.36244,        n.a.,         n.a.,      n.a.,      n.a.,      27794.924,    12197.956,  67.819,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.83138,  2.73899238067157,  1.7706564,    8.5011,/T,    4.7124,   30.6,   3.7179,   65.374, 243.584,   Cap,,312.61912499999994,-16.30213888888889,58871.0
 2020-Jan-24 00:00, , , 20 52 48.72, -16 05 58.7,    20 53 53.58, -16 01 31.6,  84.04402,  30.62805,        n.a.,         n.a.,      n.a.,      n.a.,      26247.394,    12089.603,  66.696,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.84704,  2.73996445467805,  1.5955150,    8.0909,/T,    4.4884,   18.6,   0.8453,   64.422, 243.430,   Cap,,313.203,-16.099638888888887,58872.0
 2020-Jan-25 00:00, , , 20 55 08.65, -15 53 43.3,    20 56 13.40, -15 49 13.4,  84.00338,  30.89143,        n.a.,         n.a.,      n.a.,      n.a.,      24703.823,    11966.091,  65.496,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.86188,  2.74083537859897,  1.4204085,    7.6829,/T,    4.2653,  7.497,   0.0532,   63.391, 243.279,   Cap,,313.7860416666667,-15.89536111111111,58873.0
 2020-Jan-26 00:00, , , 20 57 28.36, -15 41 21.6,    20 58 33.00, -15 36 48.8,  83.96250,  31.15257,        n.a.,         n.a.,      n.a.,      n.a.,      23164.291,    11827.745,  64.208,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.87590,  2.74160521065767,  1.2454672,    7.2774,/T,    4.0433,  7.171,   1.2675,   62.267, 243.130,   Cap,,314.36816666666664,-15.689333333333334,58874.0
 2020-Jan-27 00:00, , , 20 59 47.87, -15 28 53.6,    21 00 52.39, -15 24 18.1,  83.92148,  31.41142,        n.a.,         n.a.,      n.a.,      n.a.,      21628.873,    11674.898,  62.815,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.88910,  2.74227408158615,  1.0708112,    6.8747,/T,    3.8224,   17.8,   4.3398,   61.035, 242.984,   Cap,,314.94945833333327,-15.481555555555556,58875.0
 2020-Jan-28 00:00, , , 21 02 07.17, -15 16 19.4,    21 03 11.57, -15 11 41.2,  83.88042,  31.66796,        n.a.,         n.a.,      n.a.,      n.a.,      20097.642,    11507.887,  61.298,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.90147,  2.74284218763134,  0.8965471,    6.4752,/T,    3.6031,   29.1,   9.0708,   59.674, 242.841,   Cap,,315.52987499999995,-15.272055555555557,58876.0
 2020-Jan-29 00:00, , , 21 04 26.25, -15 03 39.0,    21 05 30.54, -14 58 58.1,  83.83946,  31.92218,        n.a.,         n.a.,      n.a.,      n.a.,      18570.665,    11327.054,  59.634,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.91303,  2.74330978267934,  0.7227680,    6.0795,/T,    3.3855,   40.3,  15.2333,   58.162, 242.700,   Cap,,316.10937499999994,-15.060833333333335,58877.0
 2020-Jan-30 00:00, , , 21 06 45.14, -14 50 52.6,    21 07 49.31, -14 46 09.0,  83.79873,  32.17407,        n.a.,         n.a.,      n.a.,      n.a.,      17048.003,    11132.746,  57.791,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.92375,  2.74367717077358,  0.5495549,    5.6882,/T,    3.1701,   51.4,  22.5903,   56.468, 242.562,   Cap,,316.68808333333334,-14.847944444444446,58878.0
 2020-Jan-31 00:00, , , 21 09 03.82, -14 38 00.1,    21 10 07.87, -14 33 13.8,  83.75837,  32.42363,        n.a.,         n.a.,      n.a.,      n.a.,      15529.716,    10925.315,  55.733,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.93366,  2.74394469996572,  0.3769797,    5.3022,/T,    2.9572,   62.6,  30.9047,   54.554, 242.426,   Cap,,317.2659166666666,-14.63336111111111,58879.0
 2020-Feb-01 00:00, , , 21 11 22.29, -14 25 01.6,    21 12 26.23, -14 20 12.7,  83.71853,  32.67086,        n.a.,         n.a.,      n.a.,      n.a.,      14015.855,    10705.115,  53.412,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.94274,  2.74411275794299,  0.2051083,    4.9225,/T,    2.7476,   73.8,  39.9403,   52.374, 242.294,   Aqr,,317.84287499999994,-14.41711111111111,58880.0
 2020-Feb-02 00:00, , , 21 13 40.57, -14 11 57.1,    21 14 44.39, -14 07 05.6,  83.67936,  32.91577,        n.a.,         n.a.,      n.a.,      n.a.,      12506.470,    10472.502,  50.768,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.95100,  2.74418176932426,  0.0340030,    4.5506,/T,    2.5420,   85.2,  49.4526,   49.865, 242.164,   Aqr,,318.4190416666666,-14.199194444444444,58881.0
 2020-Feb-03 00:00, , , 21 15 58.64, -13 58 46.8,    21 17 02.36, -13 53 52.7,  83.64103,  33.15836,        n.a.,         n.a.,      n.a.,      n.a.,      11001.606,    10227.834,  47.723,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.95844,  2.74415219395680, -0.1362767,    4.1883,/T,    2.3415,   96.8,  59.1731,   46.952, 242.037,   Aqr,,318.99433333333326,-13.979666666666667,58882.0
 2020-Feb-04 00:00, , , 21 18 16.53, -13 45 30.6,    21 19 20.13, -13 40 33.9,  83.60372,  33.39866,        n.a.,         n.a.,      n.a.,      n.a.,       9501.300,     9971.473,  44.178,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.96505,  2.74402452497427, -0.3056755,    3.8382,/T,    2.1474,  108.7,  68.7880,   43.534, 241.912,   Aqr,,319.568875,-13.7585,58883.0
 2020-Feb-05 00:00, , , 21 20 34.22, -13 32 08.7,    21 21 37.72, -13 27 09.4,  83.56765,  33.63670,        n.a.,         n.a.,      n.a.,      n.a.,       8005.585,     9703.779,  40.008,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.97084,  2.74379928480424, -0.4741485,    3.5035,/T,    1.9617,  120.9,  77.9182,   39.487, 241.790,   Aqr,,320.1425833333333,-13.53575,58884.0
 2020-Feb-06 00:00, , , 21 22 51.72, -13 18 41.0,    21 23 55.12, -13 13 39.2,  83.53307,  33.87252,        n.a.,         n.a.,      n.a.,      n.a.,       6514.487,     9425.113,  35.059,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.97581,  2.74347701686457, -0.6416699,    3.1889,/T,    1.7869,  133.6,  86.1080,   34.656, 241.672,   Aqr,,320.71549999999996,-13.311388888888889,58885.0
 2020-Feb-07 00:00, , , 21 25 09.04, -13 05 07.7,    21 26 12.34, -13 00 03.4,  83.50026,  34.10618,        n.a.,         n.a.,      n.a.,      n.a.,       5028.020,     9135.834,  29.152,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.97996,  2.74305827069768, -0.8082465,    2.9006,/T,    1.6265,  146.7,  92.8354,   28.863, 241.555,   Aqr,,321.28766666666667,-13.085472222222222,58886.0
 2020-Feb-08 00:00, , , 21 27 26.18, -12 51 28.8,    21 28 29.39, -12 46 22.1,  83.46950,  34.33777,        n.a.,         n.a.,      n.a.,      n.a.,       3546.192,     8836.298,  22.103,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.98328,  2.74254357931858, -0.9739308,    2.6468,/T,    1.4853,  160.0,  97.5557,   21.924, 241.442,   Cap,,321.8590833333333,-12.857999999999999,58887.0
 2020-Feb-09 00:00, , , 21 29 43.15, -12 37 44.3,    21 30 46.26, -12 32 35.2,  83.44106,  34.56735,        n.a.,         n.a.,      n.a.,      n.a.,       2069.002,     8526.860,  13.780,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.98579,  2.74193343007580, -1.1388289,    2.4380,/T,    1.3689,  172.3,  99.7822,   13.706, 241.331,   Cap,,322.42979166666663,-12.628972222222222,58888.0
 2020-Feb-10 00:00, , , 21 31 59.95, -12 23 54.2,    21 33 02.95, -12 18 42.8,  83.41511,  34.79500,        n.a.,         n.a.,      n.a.,      n.a.,        596.439,     8207.869,   4.197,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.98748,  2.74122823405202, -1.3030969,    2.2860,/T,    1.2843,  169.4,  99.1902,    4.223, 241.223,   Cap,,322.9997916666666,-12.398388888888888,58889.0
 2020-Feb-11 00:00, , , 21 34 16.59, -12 09 58.8,    21 35 19.48, -12 04 45.1,  83.39171,  35.02077,        n.a.,         n.a.,      n.a.,      n.a.,       -871.505,     7879.673, 353.631,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.98835,  2.74042830223971, -1.4669209,    2.2023,/L,    1.2378,  156.0,  95.7073,  353.753, 241.118,   Cap,,323.569125,-12.166333333333334,58890.0
 2020-Feb-12 00:00, , , 21 36 33.07, -11 55 57.8,    21 37 35.86, -11 50 41.9,  83.37079,  35.24468,        n.a.,         n.a.,      n.a.,      n.a.,       -2334.84,     7542.620, 342.654,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.98841,  2.73953383679352, -1.6304858,    2.1941,/L,    1.2339,  141.9,  89.5504,  342.867, 241.016,   Cap,,324.1377916666666,-11.932722222222221,58891.0
 2020-Feb-13 00:00, , , 21 38 49.40, -11 41 51.5,    21 39 52.08, -11 36 33.4,  83.35216,  35.46672,        n.a.,         n.a.,      n.a.,      n.a.,       -3793.56,     7197.059, 331.990,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.98765,  2.73854494128712, -1.7939434,    2.2619,/L,    1.2727,  127.9,  81.1892,  332.290, 240.916,   Cap,,324.70583333333326,-11.69763888888889,58892.0
 2020-Feb-14 00:00, , , 21 41 05.58, -11 27 39.9,    21 42 08.16, -11 22 19.6,  83.33557,  35.68685,        n.a.,         n.a.,      n.a.,      n.a.,       -5247.66,     6843.346, 322.251,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.98607,  2.73746164708562, -1.9573896,    2.3988,/L,    1.3506,  114.0,  71.2527,  322.633, 240.819,   Cap,,325.27325,-11.461083333333333,58893.0
 2020-Feb-15 00:00, , , 21 43 21.63, -11 13 22.9,    21 44 24.10, -11 08 00.4,  83.32072,  35.90500,        n.a.,         n.a.,      n.a.,      n.a.,       -6697.13,     6481.838, 313.762,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.98368,  2.73628394784087, -2.1208592,    2.5935,/L,    1.4613,  100.6,  60.4212,  314.221, 240.725,   Cap,,325.84012499999994,-11.223027777777778,58894.0
 2020-Feb-16 00:00, , , 21 45 37.54, -10 59 00.7,    21 46 39.92, -10 53 36.1,  83.30735,  36.12109,        n.a.,         n.a.,      n.a.,      n.a.,       -8141.94,     6112.890, 306.570,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.98047,  2.73501183341287, -2.2843327,    2.8338,/L,    1.5981,   87.4,  49.3405,  307.103, 240.634,   Cap,,326.40641666666664,-10.983527777777777,58895.0
 2020-Feb-17 00:00, , , 21 47 53.32, -10 44 33.4,    21 48 55.60, -10 39 06.6,  83.29523,  36.33505,        n.a.,         n.a.,      n.a.,      n.a.,       -9582.06,     5736.862, 300.560,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.97646,  2.73364531746585, -2.4477495,    3.1088,/L,    1.7547,   74.6,  38.5733,  301.160, 240.545,   Cap,,326.9721666666667,-10.74261111111111,58896.0
 2020-Feb-18 00:00, , , 21 50 08.96, -10 30 00.8,    21 51 11.17, -10 24 31.9,  83.28418,  36.54680,        n.a.,         n.a.,      n.a.,      n.a.,      -11017.44,     5354.111, 295.550,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.97163,  2.73218445689202, -2.6110226,    3.4098,/L,    1.9262,   62.1,  28.5846,  296.214, 240.459,   Cap,,327.53733333333327,-10.500222222222222,58897.0
 2020-Feb-19 00:00, , , 21 52 24.49, -10 15 23.2,    21 53 26.60, -10 09 52.2,  83.27406,  36.75626,        n.a.,         n.a.,      n.a.,      n.a.,      -12448.05,     4964.998, 291.359,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.96599,  2.73062936397279, -2.7740488,    3.7302,/L,    2.1091,   49.9,  19.7448,  292.081, 240.377,   Cap,,328.10204166666665,-10.256444444444444,58898.0
 2020-Feb-20 00:00, , , 21 54 39.89, -10 00 40.6,    21 55 41.92, -09 55 07.6,  83.26481,  36.96337,        n.a.,         n.a.,      n.a.,      n.a.,      -13873.82,     4569.884, 287.828,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.95954,  2.72898021325278, -2.9367166,    4.0652,/L,    2.3006,   38.0,  12.3406,  288.605, 240.297,   Cap,,328.66620833333326,-10.011277777777778,58899.0
 2020-Feb-21 00:00, , , 21 56 55.18, -09 45 53.0,    21 57 57.13, -09 40 18.0,  83.25637,  37.16806,        n.a.,         n.a.,      n.a.,      n.a.,      -15294.71,     4169.132, 284.828,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.95228,  2.72723724496401, -3.0989107,    4.4112,/L,    2.4987,   26.4,   6.5831,  285.654, 240.219,   Cap,,329.2299166666666,-9.764722222222222,58900.0
 2020-Feb-22 00:00, , , 21 59 10.35, -09 31 00.4,    22 00 12.21, -09 25 23.5,  83.24874,  37.37030,        n.a.,         n.a.,      n.a.,      n.a.,      -16710.65,     3763.106, 282.256,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.94422,  2.72540076620452, -3.2605153,    4.7654,/L,    2.7018,   15.4,   2.6134,  283.126, 240.145,   Aqr,,329.793125,-9.51677777777778,58901.0
 2020-Feb-23 00:00, , , 22 01 25.41, -09 16 03.0,    22 02 27.19, -09 10 24.2,  83.24195,  37.57003,        n.a.,         n.a.,      n.a.,      n.a.,      -18121.58,     3352.168, 280.030,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.93536,  2.72347115045706, -3.4214167,    5.1261,/L,    2.9089,  7.098,   0.5053,  280.941, 240.073,   Aqr,,330.35587499999997,-9.2675,58902.0
 2020-Feb-24 00:00, , , 22 03 40.37, -09 01 00.8,    22 04 42.06, -08 55 20.2,  83.23604,  37.76723,        n.a.,         n.a.,      n.a.,      n.a.,      -19527.45,     2936.684, 278.089,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.92569,  2.72144883566824, -3.5815058,    5.4916,/L,    3.1191,   11.2,   0.2684,  279.035, 240.005,   Aqr,,330.9182083333333,-9.01688888888889,58903.0
 2020-Feb-25 00:00, , , 22 05 55.22, -08 45 53.9,    22 06 56.82, -08 40 11.4,  83.23109,  37.96186,        n.a.,         n.a.,      n.a.,      n.a.,      -20928.21,     2517.014, 276.383,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.91522,  2.71933432103340, -3.7406798,    5.8609,/L,    3.3319,   21.4,   1.8536,  277.360, 239.939,   Aqr,,331.48008333333325,-8.764972222222223,58904.0
 2020-Feb-26 00:00, , , 22 08 09.97, -08 30 42.3,    22 09 11.49, -08 24 58.0,  83.22720,  38.15392,        n.a.,         n.a.,      n.a.,      n.a.,      -22323.80,     2093.522, 274.872,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.90396,  2.71712816275913, -3.8988443,    6.2330,/L,    3.5467,   32.2,   5.1620,  275.875, 239.876,   Aqr,,332.0415416666666,-8.51175,58905.0
 2020-Feb-27 00:00, , , 22 10 24.63, -08 15 26.1,    22 11 26.06, -08 09 40.1,  83.22448,  38.34339,        n.a.,         n.a.,      n.a.,      n.a.,      -23714.18,     1666.565, 273.526,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.89190,  2.71483096926320, -4.0559130,    6.6074,/L,    3.7631,   43.2,  10.0564,  274.550, 239.815,   Aqr,,332.602625,-8.25725,58906.0
 2020-Feb-28 00:00, , , 22 12 39.19, -08 00 05.3,    22 13 40.54, -07 54 17.6,  83.22307,  38.53027,        n.a.,         n.a.,      n.a.,      n.a.,      -25099.29,     1236.503, 272.320,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.87905,  2.71244339639055, -4.2118077,    6.9834,/L,    3.9808,   54.3,  16.3717,  273.360, 239.758,   Aqr,,333.1632916666666,-8.001472222222223,58907.0
 2020-Feb-29 00:00, , , 22 14 53.67, -07 44 40.1,    22 15 54.94, -07 38 50.6,  83.22308,  38.71458,        n.a.,         n.a.,      n.a.,      n.a.,      -26479.09,      803.689, 271.234,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.86541,  2.70996614319001, -4.3664567,    7.3606,/L,    4.1996,   65.4,  23.9227,  272.286, 239.704,   Aqr,,333.72362499999997,-7.744472222222222,58908.0
 2020-Mar-01 00:00, , , 22 17 08.07, -07 29 10.4,    22 18 09.26, -07 23 19.2,  83.22467,  38.89631,        n.a.,         n.a.,      n.a.,      n.a.,      -27853.56,      368.477, 270.251,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.85099,  2.70739994858900, -4.5197934,    7.7386,/L,    4.4193,   76.7,  32.5067,  271.310, 239.652,   Aqr,,334.283625,-7.4862222222222226,58909.0
 2020-Mar-02 00:00, , , 22 19 22.39, -07 13 36.3,    22 20 23.51, -07 07 43.5,  83.22800,  39.07549,        n.a.,         n.a.,      n.a.,      n.a.,      -29222.64,      -68.785, 269.358,           n.a.,    n.a.,   n.a.,     n.a.,   n.a.,   99.83578,  2.70474558893228, -4.6717547,    8.1171,/L,    4.6397,   88.2,  41.8973,  270.419, 239.603,   Aqr,,334.84329166666663,-7.22675,58910.0
